"abs","ad_date","ad_title","ad_url","airbag","alarm","arka_bagaj","bike_id","canta_sistemi__uclu_","cbs","cekis_kontrolu","cift_ayak","city","color","gps","isitmali_elcik","karbon","km","koltuk_alti_bagaj","led_sinyal","led_stop","nos","on_cam","on_koruma_bari","price","sahibinden","ses_sistemi","sirt_destegi","xenon_far","yan_koruma_barlari","year"
"False","06.9.2017","İLK SAHİBİNDEN GARANTİLİ PULSAR 200 NS","/ilan/vasita-motosiklet-bajaj-ilk-sahibinden-garantili-pulsar-200-ns-478543265/detay","False","False","False",478543265,"False","False","False","False","İstanbul","Siyah","False","False","False","8000.0","False","False","False","False","False","False","8500.0","True","False","False","False","False","2016.0"
"False","02.9.2017","2016 bajaj orjinal 20000 de ekstralı bakımlı","/ilan/vasita-motosiklet-bajaj-2016-bajaj-orjinal-20.000-de-ekstrali-bakimli-477108321/detay","False","False","True",477108321,"False","False","False","True","Ankara","Siyah","False","False","False","20000.0","False","True","True","False","True","False","10000.0","True","False","False","True","True","2016.0"
"False","04.9.2017","BOL EXTRALI TERTEMİZ PULSAR","/ilan/vasita-motosiklet-bajaj-bol-extrali-tertemiz-pulsar-477754090/detay","False","False","False",477754090,"False","False","False","True","İstanbul","Siyah","False","True","True","25500.0","False","True","True","False","True","True","9250.0","True","False","False","True","True","2016.0"
"False","06.9.2017","Siyah Pulsar 200 NS","/ilan/vasita-motosiklet-bajaj-siyah-pulsar-200-ns-478189143/detay","False","False","False",478189143,"False","False","False","False","İstanbul","Siyah","False","False","False","32500.0","True","False","False","False","False","False","6500.0","True","False","False","False","True","2014.0"
"False","31.8.2017","Bir haftalık fiyattır acill satılık!!","/ilan/vasita-motosiklet-bajaj-bir-haftalik-fiyattir-acill-satilik-476482928/detay","False","False","False",476482928,"False","False","False","False","Balıkesir","Kırmızı","False","False","False","11000.0","False","False","False","False","False","True","7700.0","True","False","False","False","True","2015.0"
"False","30.8.2017","kazasi belasi yok","/ilan/vasita-motosiklet-bajaj-kazasi-belasi-yok-476015872/detay","False","False","True",476015872,"False","False","False","True","Adana","Çift Renk","False","False","False","12000.0","False","False","False","False","True","False","8400.0","True","False","False","False","True","2016.0"
"False","01.9.2017","2016 Trafik Çıkışlı Garantili Orjinal PulsaR","/ilan/vasita-motosiklet-bajaj-2016-trafik-cikisli-garantili-orjinal-pulsar-476583728/detay","False","False","True",476583728,"False","False","False","False","Antalya","Beyaz","False","False","False","10000.0","False","False","False","False","False","False","8350.0","True","False","False","False","False","2015.0"
"False","31.8.2017","SIFIR AYARINDA MAKİNA","/ilan/vasita-motosiklet-bajaj-sifir-ayarinda-makina-476463614/detay","False","False","False",476463614,"False","False","False","False","Hatay","Çift Renk","False","False","False","5420.0","False","False","False","False","False","False","9000.0","True","False","False","False","False","2016.0"
"False","29.8.2017","Acil Pulsar 200ns temiz motor","/ilan/vasita-motosiklet-bajaj-acil-pulsar-200ns-temiz-motor-475716958/detay","False","False","False",475716958,"False","False","False","False","Kocaeli","Beyaz","False","False","False","3700.0","False","False","False","False","False","False","9000.0","True","False","False","False","False","2016.0"
"False","31.8.2017","Bajaj Pulsar ns200","/ilan/vasita-motosiklet-bajaj-bajaj-pulsar-ns200-476397688/detay","False","False","False",476397688,"False","False","False","False","Amasya","Kırmızı","False","False","False","7100.0","False","False","False","False","False","False","8200.0","True","False","False","False","False","2016.0"
"True","30.8.2017","TERTEMİZ HATASIZ SIFIR AYARINDA BAJAJ 200 NS HEDİYELERİYLE","/ilan/vasita-motosiklet-bajaj-tertemiz-hatasiz-sifir-ayarinda-bajaj-200-ns-hediyeleriyle-476075070/detay","False","False","False",476075070,"False","False","False","True","Ankara","Siyah","False","False","False","4900.0","False","False","False","False","False","False","8350.0","True","False","False","False","True","2014.0"
"False","30.8.2017","DÜŞÜK KİLOMETREDE, GARANTİLİ, KAZASIZ, SORUNSUZ PULSAR NS 200","/ilan/vasita-motosiklet-bajaj-dusuk-kilometrede-garantili-kazasiz-sorunsuz-pulsar-ns-200-475967560/detay","False","False","True",475967560,"False","False","False","False","İstanbul","Siyah","False","False","False","2500.0","False","False","False","False","False","False","8800.0","True","False","False","False","True","2016.0"
"False","29.8.2017","2016 model 1400 km teshir motoru extralari var","/ilan/vasita-motosiklet-bajaj-2016-model-1400-km-teshir-motoru-extralari-var-475738595/detay","False","False","True",475738595,"False","False","False","True","Konya","Çift Renk","False","False","False","1400.0","True","False","False","False","True","False","10000.0","True","False","False","False","False","2016.0"
"False","27.8.2017","En iyisini istiyorsan Bajaj pulsar NS200 2016 MODEL Rosso last","/ilan/vasita-motosiklet-bajaj-en-iyisini-istiyorsan-bajaj-pulsar-ns200-2016-model-rosso-last-474668225/detay","False","False","False",474668225,"False","False","True","False","Bursa","Siyah","False","False","False","15000.0","False","False","False","False","True","False","8500.0","True","False","False","False","True","2016.0"
"False","28.8.2017","HASAR KAYITSIZ BOL EXTRALI PULSAR","/ilan/vasita-motosiklet-bajaj-hasar-kayitsiz-bol-extrali-pulsar-475428593/detay","False","True","True",475428593,"True","False","False","True","Ordu","Kırmızı","False","False","False","21000.0","False","False","True","False","True","False","8000.0","True","False","False","False","False","2015.0"
