"abs","ad_date","ad_title","ad_url","airbag","alarm","arka_bagaj","bike_id","canta_sistemi__uclu_","cbs","cekis_kontrolu","cift_ayak","city","color","gps","isitmali_elcik","karbon","km","koltuk_alti_bagaj","led_sinyal","led_stop","nos","on_cam","on_koruma_bari","price","sahibinden","ses_sistemi","sirt_destegi","xenon_far","yan_koruma_barlari","year"
"False",10/23/2017,"KAMPANYA DA SINIRLI SAYIDA KTM DUKE 200 SON 1 ADET","/ilan/vasita-motosiklet-ktm-kampanya-da-sinirli-sayida-ktm-duke-200-son-1-adet-443830629/detay","False","False","False",443830629,"False","False","False","False","Bursa","Turuncu","False","False","False","0.0","False","False","False","False","False","False","13999.0","False","False","False","False","False","2016.0"
"False",09/17/2017,"ACİL FİYAT DÜŞTÜ Sıfırdan Farksız Ekstralı","/ilan/vasita-motosiklet-ktm-acil-fiyat-dustu-sifirdan-farksiz-ekstrali-482282366/detay","False","False","False",482282366,"False","False","False","False","Adana","Çift Renk","False","False","False","5800.0","False","False","False","False","False","False","13000.0","True","False","False","True","False","2016.0"
"False",09/14/2017,"Bayan sürücüden","/ilan/vasita-motosiklet-ktm-bayan-surucuden-481501518/detay","False","False","False",481501518,"False","False","False","False","Muğla","Turuncu","False","False","False","16700.0","False","False","False","False","False","False","12000.0","True","False","False","False","False","2012.0"
"False",09/16/2017,"kaçırma","/ilan/vasita-motosiklet-ktm-kacirma-482059572/detay","False","False","False",482059572,"False","False","False","False","İzmir","Turuncu","False","False","False","4700.0","False","False","False","False","False","False","12000.0","True","False","False","False","False","2015.0"
"False",09/08/2017,"EXTRALI DUKE KAZASIZ","/ilan/vasita-motosiklet-ktm-extrali-duke-kazasiz-479438150/detay","False","False","False",479438150,"False","False","False","False","Trabzon","Turuncu","False","False","False","27000.0","True","True","True","False","True","False","11000.0","True","False","False","False","True","2012.0"
"False",09/05/2017,"Acil fiyat düştü Duke200 Canavar Gibi","/ilan/vasita-motosiklet-ktm-acil-fiyat-dustu-duke200-canavar-gibi-477907726/detay","False","True","False",477907726,"False","False","False","False","İzmir","Turuncu","False","False","False","15200.0","True","True","False","False","False","False","9999.0","True","False","False","False","False","2015.0"
"False",09/04/2017,"MEMURDAN TERTEMİZ GARAJ MOTORU","/ilan/vasita-motosiklet-ktm-memurdan-tertemiz-garaj-motoru-477783893/detay","False","False","False",477783893,"False","False","False","False","Sakarya","Turuncu","False","False","False","4400.0","False","False","False","False","False","False","12400.0","True","False","False","False","False","2016.0"
"False",08/27/2017,"2014 KTM Duke200","/ilan/vasita-motosiklet-ktm-2014-ktm-duke200-474674440/detay","False","False","False",474674440,"False","False","False","False","Denizli","Beyaz","False","False","False","19000.0","False","False","False","False","False","False","11000.0","True","False","False","False","False","2014.0"
"False",08/21/2017,"Acilll cuma son !","/ilan/vasita-motosiklet-ktm-acilll-cuma-son-472451572/detay","False","False","False",472451572,"False","False","False","False","Kayseri","Turuncu","False","False","False","4900.0","False","False","False","False","False","False","11250.0","True","False","False","False","False","2015.0"
"False",08/20/2017,"BOL EXTRALI DUKE","/ilan/vasita-motosiklet-ktm-bol-extrali-duke-472395282/detay","False","True","False",472395282,"False","False","False","False","İstanbul","Turuncu","False","False","False","13000.0","False","False","False","False","False","False","10000.0","True","False","False","False","False","2012.0"
"False",08/18/2017,"Özenle Kullanılmış Duke 200","/ilan/vasita-motosiklet-ktm-ozenle-kullanilmis-duke-200-471746003/detay","False","False","False",471746003,"False","False","False","False","Ankara","Turuncu","False","False","False","28600.0","False","False","False","False","False","False","10750.0","True","False","False","False","False","2014.0"
"False",08/16/2017,"DUKE 200 HATASIZ HILE HURDASIZ","/ilan/vasita-motosiklet-ktm-duke-200-hatasiz-hile-hurdasiz-470826691/detay","False","False","False",470826691,"False","False","False","False","Trabzon","Turuncu","False","False","False","11000.0","False","False","False","False","False","False","11250.0","True","False","False","False","False","2012.0"
"False",08/03/2017,"ACİL İHTİYACTAN SATILIKTIR2014 Model Temiz Duke","/ilan/vasita-motosiklet-ktm-acil-ihtiyactan-satiliktir.2014-model-temiz-duke-468732428/detay","False","False","False",468732428,"False","True","False","False","İstanbul","Beyaz","True","False","False","24000.0","False","False","False","False","True","False","9400.0","True","False","False","False","False","2014.0"
"False",10/16/2017,"KARMOTO'DAN KTM DUKE 200 BU FIRSAT KAÇMAZ TAM BAKIMLI","/ilan/vasita-motosiklet-ktm-karmoto-dan-ktm-duke-200-bu-firsat-kacmaz-tam-bakimli-469658396/detay","False","False","False",469658396,"False","False","False","False","Kocaeli","Turuncu","False","False","False","31300.0","True","True","True","False","False","False","10600.0","False","False","False","False","False","2014.0"
"False",07/07/2017,"İlk günkü gibi sadece 4000 km de","/ilan/vasita-motosiklet-ktm-ilk-gunku-gibi-sadece-4000-km-de-459144715/detay","False","False","False",459144715,"False","False","False","False","Ankara","Turuncu","False","False","False","4000.0","False","False","False","False","False","False","11500.0","True","False","False","False","False","2016.0"
