"abs","ad_date","ad_title","ad_url","airbag","alarm","arka_bagaj","bike_id","canta_sistemi__uclu_","cbs","cekis_kontrolu","cift_ayak","city","color","gps","isitmali_elcik","karbon","km","koltuk_alti_bagaj","led_sinyal","led_stop","nos","on_cam","on_koruma_bari","price","sahibinden","ses_sistemi","sirt_destegi","xenon_far","yan_koruma_barlari","year"
"False",11/08/2017,"SAHIBINDEN UYGUN FIYAT","/ilan/vasita-motosiklet-honda-sahibinden-uygun-fiyat-499974170/detay","False","True","False",499974170,"False","False","False","False","Mersin","Çift Renk","False","False","False","8500.0","False","False","False","False","True","False","12000.0","True","False","False","False","False","2015.0"
"False",11/08/2017,"sahibinden temiz 2015 Cbr 250R REPSOL","/ilan/vasita-motosiklet-honda-sahibinden-temiz-2015-cbr-250r-repsol-499838383/detay","False","False","False",499838383,"False","False","False","True","Bursa","Çift Renk","False","False","False","22000.0","True","False","False","False","False","False","12000.0","True","False","False","False","True","2015.0"
"False",11/08/2017,"sahibinden satılık","/ilan/vasita-motosiklet-honda-sahibinden-satilik-499813210/detay","False","False","False",499813210,"False","False","False","False","İstanbul","Çift Renk","False","False","False","11500.0","False","False","False","False","False","False","14000.0","True","False","False","False","True","2015.0"
"False",11/07/2017,"2013 25000km","/ilan/vasita-motosiklet-honda-2013-25000km-499802176/detay","False","False","False",499802176,"False","False","False","False","İzmir","Siyah","False","False","False","25000.0","False","False","False","False","False","False","10500.0","True","False","False","False","False","2013.0"
"False",11/07/2017,"SİYAH İNCİ TEMİZ BAKIMLI EKSTRALI HONDA CBR 250R","/ilan/vasita-motosiklet-honda-siyah-inci-temiz-bakimli-ekstrali-honda-cbr-250r-499736614/detay","False","True","True",499736614,"False","False","False","False","Çanakkale","Siyah","False","False","False","39000.0","False","False","False","False","False","False","9250.0","True","False","False","False","False","2013.0"
"False",11/07/2017,"2012 MODEL CBR","/ilan/vasita-motosiklet-honda-2012-model-cbr-499691017/detay","False","False","False",499691017,"False","False","False","False","İzmir","Çift Renk","False","False","False","30000.0","True","False","True","False","False","False","11000.0","True","False","False","False","False","2012.0"
"False",11/07/2017,"Firsat Ürünü","/ilan/vasita-motosiklet-honda-firsat-urunu-499684298/detay","False","False","False",499684298,"False","False","False","False","Antalya","Beyaz","False","False","False","7000.0","False","False","False","False","False","False","13700.0","True","False","False","False","False","2012.0"
"False",11/07/2017,"SIFIR AYARINDA HONDA CBR250","/ilan/vasita-motosiklet-honda-sifir-ayarinda-honda-cbr250-499630191/detay","False","False","False",499630191,"False","False","False","False","İzmir","Siyah","False","False","False","7700.0","False","False","False","False","False","False","15500.0","True","False","False","False","False","2016.0"
"False",11/07/2017,"Acil ilk sahibinden","/ilan/vasita-motosiklet-honda-acil-ilk-sahibinden-499666232/detay","False","False","False",499666232,"False","False","False","False","İstanbul","Çift Renk","False","False","False","15500.0","False","False","False","False","True","False","15000.0","True","False","False","True","False","2016.0"
"False",11/07/2017,"Sıfırdan farksız CBR 250","/ilan/vasita-motosiklet-honda-sifirdan-farksiz-cbr-250-469270774/detay","False","False","False",469270774,"False","False","False","False","Antalya","Siyah","False","False","False","10313.0","False","False","False","False","False","False","13950.0","False","False","False","False","False","2015.0"
