abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,cbs,city,color,gps,isıtmalı_elcik,karbon,km,koltuk_altı_bagaj,led_sinyal,led_stop,nos,price,sahibinden,ses_sistemi,sırt_desteği,xenon_far,yan_koruma_barları,year,çanta_sistemi_(_üçlü_),çekiş_kontrolü,çift_ayak,ön_cam,ön_koruma_barı
True,10.4.2018,C 600 SPORT,/ilan/vasita-motosiklet-bmw-c-600-sport-548697866/detay,False,False,False,548697866,False,İstanbul,Siyah,False,False,False,29000.0,False,False,False,False,31000.0,True,False,True,False,False,2012.0,False,False,False,False,False
False,06.4.2018,2012-BMW- C65 C600 SPORT DÜŞÜK KM,/ilan/vasita-motosiklet-bmw-2012-bmw-c65-c600-sport-dusuk-km-549906482/detay,False,False,False,549906482,False,İstanbul,Gümüş Gri,False,False,False,14800.0,False,False,False,False,39500.0,False,False,False,False,False,2012.0,False,False,False,False,False
True,07.4.2018,2017 SIFIRDAN FARKSIZ 2200 Km de,/ilan/vasita-motosiklet-bmw-2017-sifirdan-farksiz-extrali-2200-km-de-550347634/detay,False,False,False,550347634,False,İstanbul,Siyah,False,False,False,2200.0,False,False,False,False,63750.0,True,False,False,False,False,2017.0,False,True,False,False,False
True,03.4.2018,Motoral dan bmw c600 sport,/ilan/vasita-motosiklet-bmw-motoral-dan-bmw-c600-sport-524420085/detay,False,True,False,524420085,False,İstanbul,Gri,False,True,False,42000.0,True,False,False,False,37500.0,False,False,True,False,False,2012.0,False,False,True,True,False
True,20.3.2018,SERVİS BAKIMLI,/ilan/vasita-motosiklet-bmw-servis-bakimli-543055535/detay,False,True,False,543055535,False,İstanbul,Mavi,False,True,False,52000.0,True,True,True,False,33500.0,True,False,True,False,False,2013.0,False,False,True,True,False
False,05.4.2018,MotoTAL'dan BMW C 600 Sport,/ilan/vasita-motosiklet-bmw-mototal-dan-bmw-c-600-sport-535417029/detay,False,False,False,535417029,False,İstanbul,Lacivert,False,False,False,32000.0,False,False,False,False,32750.0,False,False,False,False,False,2013.0,False,False,False,False,False
True,03.3.2018,TR DE TEK!,/ilan/vasita-motosiklet-bmw-tr-de-tek-534285441/detay,False,False,False,534285441,False,İstanbul,Mavi,False,True,False,19000.0,True,True,True,False,43500.0,True,False,True,True,False,2012.0,False,False,True,True,False
True,28.3.2018,ULUS MOTORS 2012 BMW C 600 SPORT,/ilan/vasita-motosiklet-bmw-ulus-motors-2012-bmw-c-600-sport-486941986/detay,False,False,False,486941986,False,İstanbul,Mavi,False,True,False,39346.0,True,False,True,False,32000.0,False,False,True,True,False,2012.0,False,False,True,True,False
