abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,cbs,city,color,gps,isıtmalı_elcik,karbon,km,koltuk_altı_bagaj,led_sinyal,led_stop,nos,price,sahibinden,ses_sistemi,sırt_desteği,xenon_far,yan_koruma_barları,year,çanta_sistemi_(_üçlü_),çekiş_kontrolü,çift_ayak,ön_cam,ön_koruma_barı
False,14.3.2018,satilik cbf 150,/ilan/vasita-motosiklet-honda-satilik-cbf-150-540452500/detay,False,False,False,540452500,False,İstanbul,Siyah,False,False,False,30700.0,False,False,False,False,6500.0,True,False,False,False,False,2016.0,False,False,False,False,False
False,18.3.2018,Bilen bilir 21000 binde bakımlı,/ilan/vasita-motosiklet-honda-bilen-bilir-21000-binde-bakimli-542028856/detay,False,False,False,542028856,False,Antalya,Kırmızı,False,False,False,21000.0,False,False,False,False,5250.0,True,False,False,False,False,2012.0,False,False,False,False,False
False,16.3.2018,cc yükseltmek için satılıktırkazasız orjinal motosiklet,/ilan/vasita-motosiklet-honda-cc-yukseltmek-icin-satiliktir.kazasiz-orjinal-motosiklet-541151675/detay,False,False,False,541151675,False,İstanbul,Siyah,False,False,False,26000.0,False,False,False,False,6250.0,True,False,False,False,False,2015.0,False,False,False,False,False
False,16.3.2018,bebek satılık,/ilan/vasita-motosiklet-honda-bebek-satilik-541144550/detay,False,False,True,541144550,False,Zonguldak,Siyah,False,False,False,512.0,False,False,False,False,9750.0,True,False,False,False,True,2017.0,False,False,True,True,True
False,14.3.2018,2011 model temiz,/ilan/vasita-motosiklet-honda-2011-model-temiz-540415771/detay,False,False,False,540415771,False,İstanbul,Siyah,False,False,False,39500.0,False,False,False,False,4300.0,True,False,False,False,False,2011.0,False,False,False,False,False
True,16.3.2018,sahibinden honda cbf 150,/ilan/vasita-motosiklet-honda-sahibinden-honda-cbf-150-541111008/detay,False,False,True,541111008,False,Sakarya,Gümüş Gri,False,False,False,31000.0,False,False,False,False,4300.0,True,False,False,False,False,2011.0,False,False,True,False,True
False,16.3.2018,Scotty'ye Uygun Çantalı Temiz,/ilan/vasita-motosiklet-honda-scotty-ye-uygun-cantali-temiz-541111431/detay,False,False,False,541111431,False,İstanbul,Siyah,False,False,False,22000.0,False,False,False,False,4600.0,True,False,False,False,False,2015.0,False,False,False,False,False
False,16.3.2018,CBF150 TERTEMİZ MOTOR,/ilan/vasita-motosiklet-honda-cbf150-tertemiz-motor-541111229/detay,False,False,False,541111229,False,İstanbul,Siyah,False,False,False,43000.0,False,False,False,False,5000.0,True,False,False,False,False,2014.0,False,False,False,False,False
False,16.3.2018,ihtiyaçtan satilik,/ilan/vasita-motosiklet-honda-ihtiyactan-satilik-541106532/detay,False,False,True,541106532,False,Balıkesir,Siyah,False,False,False,30000.0,False,True,True,False,6000.0,True,False,False,False,False,2011.0,True,False,True,True,False
True,14.3.2018,2009 Model Honda Cbf,/ilan/vasita-motosiklet-honda-2009-model-honda-cbf-540316794/detay,False,True,False,540316794,False,İstanbul,Kırmızı,False,False,False,79000.0,False,False,False,False,3000.0,True,False,False,False,True,2009.0,False,True,False,False,True
False,16.3.2018,honda hayat onda cbf 150,/ilan/vasita-motosiklet-honda-honda-hayat-onda-cbf-150-541080337/detay,False,False,False,541080337,False,İstanbul,Siyah,False,False,False,3200.0,False,False,False,False,7600.0,True,False,False,False,False,2017.0,False,False,False,False,False
False,18.3.2018,14000 DE TERTEMIZ ŞAHSİ KULLANILMIŞ,/ilan/vasita-motosiklet-honda-14000-de-tertemiz-sahsi-kullanilmis-541938625/detay,False,False,True,541938625,False,İstanbul,Siyah,False,False,False,14000.0,False,False,False,False,6750.0,True,False,False,False,False,2016.0,False,False,True,True,False
False,20.3.2018,06 Doruktan Temiz Cbf 150 Nakit ihtiyacından Satılık,/ilan/vasita-motosiklet-honda-06-doruktan-temiz-cbf-150-nakit-ihtiyacindan-satilik-542850062/detay,False,False,False,542850062,False,Ankara,Siyah,False,False,False,9500.0,False,False,False,False,6500.0,True,False,False,False,True,2016.0,False,False,False,False,False
False,18.3.2018,tertemiz kurye motoru degil,/ilan/vasita-motosiklet-honda-tertemiz-kurye-motoru-degil-541886455/detay,False,False,False,541886455,False,İstanbul,Siyah,False,False,False,5500.0,False,False,False,False,9000.0,True,False,False,False,False,2017.0,False,False,False,False,False
False,16.3.2018,sahibinden orjinal acil,/ilan/vasita-motosiklet-honda-sahibinden-orjinal-acil-541019676/detay,False,False,False,541019676,False,Ankara,Siyah,False,False,False,9000.0,False,False,False,False,7000.0,True,False,False,False,False,2016.0,False,False,False,False,False
False,14.3.2018,ruzgar gulu,/ilan/vasita-motosiklet-honda-ruzgar-gulu-540264989/detay,False,False,False,540264989,False,Gaziantep,Kırmızı,False,False,False,8000.0,False,False,False,False,6500.0,True,False,False,False,True,2016.0,False,False,False,False,True
False,16.3.2018,Acil satılıkkk,/ilan/vasita-motosiklet-honda-acil-satilikkk-541006079/detay,False,False,False,541006079,False,İstanbul,Kırmızı,False,False,False,44000.0,False,False,False,False,4500.0,True,False,False,False,False,2015.0,False,False,False,False,False
False,18.3.2018,sahibinden acil bakimli,/ilan/vasita-motosiklet-honda-sahibinden-acil-bakimli-541765656/detay,False,False,False,541765656,False,İstanbul,Kırmızı,False,False,False,44800.0,False,False,False,False,4650.0,True,False,False,False,False,2014.0,False,False,False,False,False
