abs,ad_date,ad_title,ad_url,airbag,alarm,arka_bagaj,bike_id,cbs,city,color,gps,isıtmalı_elcik,karbon,km,koltuk_altı_bagaj,led_sinyal,led_stop,nos,price,sahibinden,ses_sistemi,sırt_desteği,xenon_far,yan_koruma_barları,year,çanta_sistemi_(_üçlü_),çekiş_kontrolü,çift_ayak,ön_cam,ön_koruma_barı
False,19.3.2018,askerlikten dolayı acil satılıktır,/ilan/vasita-motosiklet-apachi-askerlikten-dolayi-acil-satiliktir-542497928/detay,False,False,False,542497928,False,Kocaeli,Gri,False,False,False,27000.0,False,False,False,False,4200.0,True,False,False,False,False,2013.0,False,False,False,False,False
False,21.3.2018,temiz RTR 150 dügün nedeni ile satıyorum,/ilan/vasita-motosiklet-apachi-temiz-rtr-150-dugun-nedeni-ile-satiyorum-543304967/detay,False,False,False,543304967,False,Bursa,Gümüş Gri,False,False,False,10200.0,False,False,False,False,5500.0,True,False,False,False,False,2014.0,False,False,False,False,False
False,19.3.2018,SAHİBİNDEN TEMİZ APACHI RTR 150,/ilan/vasita-motosiklet-apachi-sahibinden-temiz-apachi-rtr-150-542082478/detay,False,False,False,542082478,False,Antalya,Kırmızı,False,False,False,18000.0,False,False,False,False,3750.0,True,False,False,False,False,2012.0,False,False,True,False,True
False,20.3.2018,Temiz yaza hazir evraklı,/ilan/vasita-motosiklet-apachi-temiz-yaza-hazir-evrakli-543037680/detay,False,False,False,543037680,False,İstanbul,Gümüş Gri,False,False,False,40000.0,False,False,False,False,2500.0,True,False,False,False,False,2009.0,False,False,False,False,False
True,18.3.2018,İLK SAHİBİNDEN TEMİZ,/ilan/vasita-motosiklet-apachi-ilk-sahibinden-temiz-541989418/detay,True,True,False,541989418,True,İzmir,Kırmızı,False,False,False,15000.0,False,False,False,False,5000.0,True,False,True,False,True,2014.0,False,True,False,False,True
False,18.3.2018,Çin Malına bineceğine Hint Malına Bin!,/ilan/vasita-motosiklet-apachi-cin-malina-binecegine-hint-malina-bin-541707670/detay,False,False,True,541707670,False,Denizli,Gri,False,False,False,37000.0,False,False,False,False,3500.0,True,False,False,False,False,2009.0,False,False,False,False,False
False,19.3.2018,2011 model temiz motor,/ilan/vasita-motosiklet-apachi-2011-model-temiz-motor-542545569/detay,False,False,False,542545569,False,Adıyaman,Kırmızı,False,False,False,20000.0,False,False,False,False,4500.0,True,False,False,False,False,2011.0,False,False,False,False,False
False,19.3.2018,Apache rtr150,/ilan/vasita-motosiklet-apachi-apache-rtr150-542370924/detay,False,False,False,542370924,False,Adana,Gri,False,False,False,48000.0,False,False,False,False,4250.0,True,False,False,False,True,2012.0,False,False,False,False,False
False,17.3.2018,Binicisine Temiz Apache,/ilan/vasita-motosiklet-apachi-binicisine-temiz-apache-541231437/detay,False,False,False,541231437,False,Balıkesir,Çift Renk,False,False,False,20000.0,False,False,False,False,5000.0,True,False,False,False,False,2015.0,False,False,False,False,False
False,19.3.2018,acil satilikkk,/ilan/vasita-motosiklet-apachi-acil-satilikkk-542048219/detay,False,False,False,542048219,False,Hatay,Siyah,False,False,False,35000.0,False,False,False,False,4000.0,True,False,False,False,False,2011.0,False,False,False,False,False
False,16.3.2018,Apachi 150 RTR,/ilan/vasita-motosiklet-apachi-apachi-150-rtr-541155192/detay,False,False,False,541155192,False,Sakarya,Çift Renk,False,False,False,25000.0,False,False,False,False,4750.0,True,False,False,False,False,2013.0,False,False,False,False,False
False,17.3.2018,Apache rtr 150 bakımları yeni dosta gider,/ilan/vasita-motosiklet-apachi-apache-rtr-150-bakimlari-yeni-dosta-gider-541013711/detay,False,False,False,541013711,False,Sakarya,Kırmızı,False,False,False,25.0,False,False,False,False,4700.0,True,False,False,False,False,2003.0,False,False,False,False,False
False,15.3.2018,Fiyat 4100 Herhangi bir sıkıntısı yoktur son fiyat,/ilan/vasita-motosiklet-apachi-fiyat-4100-herhangi-bir-sikintisi-yoktur-son-fiyat-540922414/detay,False,False,False,540922414,False,Antalya,Siyah,False,False,False,14200.0,True,False,True,False,4100.0,True,False,False,False,False,2012.0,False,False,True,False,True
False,15.3.2018,S A T I L I K 2013 APACHE TEMİZ,/ilan/vasita-motosiklet-apachi-s-a-t-i-l-i-k-2013-apache-temiz-540860689/detay,False,True,False,540860689,False,Çanakkale,Kırmızı,False,False,False,17000.0,False,False,False,False,4200.0,True,False,False,False,False,2013.0,False,False,False,False,False
False,13.3.2018,Apache sahibinden temiz,/ilan/vasita-motosiklet-apachi-apache-sahibinden-temiz-539908042/detay,False,False,False,539908042,False,Gaziantep,Siyah,False,False,False,25600.0,False,False,False,False,4000.0,True,False,False,False,False,2012.0,False,False,False,False,False
False,15.3.2018,sahibinden tvs apaci temiz 9o km motor,/ilan/vasita-motosiklet-apachi-sahibinden-tvs-apaci-temiz-9o-km-motor-540690724/detay,False,False,False,540690724,False,Şanlıurfa,Kırmızı,False,False,False,90.0,False,False,False,False,7700.0,True,False,False,False,False,2016.0,False,False,False,False,True
False,13.3.2018,acil satlik,/ilan/vasita-motosiklet-apachi-acil-satlik-539977930/detay,False,False,False,539977930,False,Adana,Gri,False,False,False,21000.0,False,False,False,False,5050.0,True,False,False,False,False,2015.0,False,False,False,False,False
False,14.3.2018,apache rtr 150,/ilan/vasita-motosiklet-apachi-apache-rtr-150-540407668/detay,False,False,False,540407668,False,Bursa,Çift Renk,False,False,False,39650.0,False,False,False,False,4200.0,True,False,False,False,False,2012.0,False,False,False,False,False
False,12.3.2018,Ciğerli Makina TVS 150,/ilan/vasita-motosiklet-apachi-cigerli-makina-tvs-150-539365628/detay,False,False,False,539365628,False,İstanbul,Beyaz,False,False,False,15610.0,False,False,False,False,6250.0,True,False,False,False,True,2015.0,False,False,False,False,False
